,Month,Passengers In,Freight In,Passengers Out,Freight Out
313,2009-04-01,455.0,0.807,431.0,4.66
314,2009-04-01,6907.0,186.772,6985.0,84.117
315,2009-04-01,2014.0,131.482,2209.0,270.448
316,2009-04-01,4331.0,51.209,3552.0,45.196
317,2009-04-01,6961.0,238.477,9791.0,112.386
318,2009-04-01,0.0,100.283,0.0,0.0
319,2009-04-01,0.0,0.0,0.0,71.787
320,2009-04-01,0.0,83.627,0.0,0.0
321,2009-04-01,0.0,0.0,0.0,57.742
322,2009-04-01,62994.0,2825.632,63885.0,2885.312
323,2009-04-01,10424.0,109.723,10730.0,34.619
324,2009-04-01,6433.0,165.189,5960.0,95.939
325,2009-04-01,6475.0,347.055,5184.0,7.715
326,2009-04-01,1432.0,0.382,1416.0,1.109
327,2009-04-01,25162.0,821.054,22135.0,788.593
328,2009-04-01,3927.0,57.59,3248.0,372.649
329,2009-04-01,2637.0,0.221,1985.0,1.42
330,2009-04-01,41397.0,1136.463,48563.0,1622.721
331,2009-04-01,549.0,47.371,455.0,99.62
332,2009-04-01,12517.0,459.456,18147.0,553.667
333,2009-04-01,2721.0,92.021,2560.0,26.762
334,2009-04-01,0.0,0.0,0.0,187.771
335,2009-04-01,0.0,694.526,0.0,0.0
336,2009-04-01,15468.0,208.975,16375.0,128.556
337,2009-04-01,1718.0,1.981,2041.0,29.848
338,2009-04-01,10238.0,170.89,10043.0,350.903
339,2009-04-01,12742.0,174.278,13788.0,17.397
340,2009-04-01,17838.0,205.922,16182.0,243.891
341,2009-04-01,15917.0,27.026,16148.0,28.273
342,2009-04-01,10701.0,27.882,10737.0,6.604
343,2009-04-01,5819.0,131.998,6254.0,129.903
344,2009-04-01,2954.0,25.871,3352.0,61.94
345,2009-04-01,1539.0,10.382,1733.0,0.525
346,2009-04-01,9573.0,705.644,11196.0,392.984
347,2009-04-01,2809.0,215.007,2939.0,86.709
348,2009-04-01,3143.0,9.041,3191.0,43.05
349,2009-04-01,0.0,0.0,0.0,0.0
350,2009-04-01,35721.0,2073.837,38156.0,1213.747
351,2009-04-01,177.0,0.0,213.0,10.77
352,2009-04-01,531.0,0.0,547.0,0.0
353,2009-04-01,776.0,0.0,778.0,0.0
354,2009-04-01,0.0,5.129,0.0,44.986
355,2009-04-01,6958.0,92.169,5913.0,86.873
356,2009-04-01,3045.0,36.811,3068.0,24.378
357,2009-04-01,5898.0,623.636,6364.0,225.334
358,2009-04-01,3377.0,115.908,4213.0,15.954
359,2009-04-01,24692.0,1234.221,24742.0,422.287
360,2009-04-01,2254.0,66.72,1999.0,19.093
361,2009-04-01,3655.0,66.811,3268.0,298.138
362,2009-04-01,8296.0,127.551,8523.0,184.574
363,2009-04-01,2102.0,1.73,2004.0,12.087
364,2009-04-01,54749.0,1335.578,53222.0,1415.85
365,2009-04-01,3383.0,22.19,3296.0,52.651
366,2009-04-01,39385.0,1489.658,39840.0,1802.736
367,2009-04-01,7204.0,80.014,7367.0,62.931
368,2009-04-01,3455.0,66.415,3659.0,233.845
369,2009-04-01,15722.0,357.114,18291.0,91.198
370,2009-04-01,39826.0,1570.293,46506.0,382.351
371,2009-04-01,5124.0,53.908,5215.0,96.289
372,2009-04-01,1273.0,39.49,960.0,46.549
373,2009-04-01,0.0,128.691,0.0,294.359
374,2009-04-01,87645.0,3692.771,99608.0,4435.877
375,2009-04-01,265.0,5.865,274.0,3.269
376,2009-04-01,5291.0,22.888,5085.0,105.096
377,2009-04-01,0.0,286.127,0.0,252.232
378,2009-04-01,38691.0,1473.343,36499.0,2219.712
379,2009-04-01,4122.0,0.0,4553.0,0.0
380,2009-04-01,15806.0,89.996,19307.0,429.418
381,2009-04-01,0.0,0.0,0.0,72.531
382,2009-04-01,0.0,924.006,0.0,0.0
383,2009-04-01,7544.0,186.143,9047.0,44.751
384,2009-04-01,8656.0,159.458,6465.0,157.752
385,2009-04-01,4559.0,503.267,4364.0,211.984
386,2009-04-01,1800.0,21.325,2732.0,51.865
387,2009-04-01,7895.0,4.691,8078.0,26.097
388,2009-04-01,7172.0,0.0,7770.0,0.0
389,2009-04-01,36454.0,53.596,35154.0,29.499
390,2009-04-01,1442.0,0.0,1550.0,4.588
391,2009-04-01,863.0,0.0,913.0,3.028
392,2009-04-01,911.0,0.655,924.0,0.949
393,2009-04-01,2509.0,3.9,2513.0,5.846
394,2009-04-01,1355.0,0.318,1392.0,1.219
395,2009-05-01,1275.0,5.821,972.0,19.01
396,2009-05-01,1053.0,8.549,1151.0,51.795
397,2009-05-01,16.0,0.0,34.0,0.0
398,2009-05-01,481.0,0.027,593.0,4.737
399,2009-05-01,4032.0,1.817,2970.0,76.678
400,2009-05-01,4422.0,240.876,6372.0,135.141
401,2009-05-01,7116.0,281.606,7076.0,102.78
402,2009-05-01,897.0,33.535,1020.0,37.078
403,2009-05-01,78054.0,1393.863,75511.0,1403.473
404,2009-05-01,7117.0,98.295,7085.0,230.382
405,2009-05-01,11465.0,312.528,10489.0,297.827
406,2009-05-01,3419.0,25.839,3534.0,47.192
407,2009-05-01,19929.0,149.809,19759.0,27.272
408,2009-05-01,371.0,1.998,333.0,4.53
409,2009-05-01,5171.0,172.299,5779.0,101.591
410,2009-05-01,1568.0,176.611,2359.0,206.265
411,2009-05-01,2974.0,74.403,3083.0,24.388
412,2009-05-01,5561.0,279.404,9595.0,130.281
413,2009-05-01,0.0,153.084,0.0,0.0
414,2009-05-01,0.0,0.0,0.0,74.634
415,2009-05-01,0.0,51.638,0.0,0.0
416,2009-05-01,0.0,0.0,0.0,81.277
417,2009-05-01,45892.0,3033.312,51625.0,2397.003
418,2009-05-01,8810.0,168.768,9717.0,46.315
419,2009-05-01,4002.0,98.497,4785.0,93.371
420,2009-05-01,5362.0,310.522,4782.0,6.331
421,2009-05-01,1055.0,0.595,1208.0,1.168
422,2009-05-01,20282.0,884.005,14335.0,899.645
423,2009-05-01,5867.0,61.483,5360.0,303.185
424,2009-05-01,1561.0,3.272,1609.0,0.544
425,2009-05-01,35185.0,1136.1,57555.0,1675.641
426,2009-05-01,403.0,55.461,348.0,126.705
427,2009-05-01,11898.0,787.302,20044.0,616.201
428,2009-05-01,2271.0,89.464,2330.0,31.309
429,2009-05-01,0.0,0.0,0.0,165.285
430,2009-05-01,0.0,770.088,0.0,0.0
431,2009-05-01,14842.0,226.907,16740.0,97.638
432,2009-05-01,1871.0,1.059,1802.0,32.552
433,2009-05-01,8577.0,217.956,8885.0,408.683
434,2009-05-01,14881.0,143.19,17005.0,30.934
435,2009-05-01,14603.0,223.514,17030.0,223.637
436,2009-05-01,24053.0,31.406,23739.0,35.816
437,2009-05-01,11809.0,26.145,11739.0,10.448
438,2009-05-01,5583.0,171.071,6034.0,40.863
439,2009-05-01,3990.0,31.186,4014.0,53.439
440,2009-05-01,2019.0,11.771,2203.0,6.546
441,2009-05-01,8475.0,571.7,10423.0,377.051
442,2009-05-01,2574.0,235.205,2628.0,105.604
443,2009-05-01,1701.0,5.808,2184.0,26.489
444,2009-05-01,0.0,0.0,0.0,0.0
445,2009-05-01,30953.0,2103.359,35031.0,1387.892
446,2009-05-01,259.0,0.452,263.0,10.897
447,2009-05-01,565.0,0.0,569.0,0.0
448,2009-05-01,0.0,0.0,0.0,0.0
449,2009-05-01,0.0,2.343,0.0,32.606
450,2009-05-01,5575.0,130.386,5359.0,75.925
451,2009-05-01,2665.0,35.877,2499.0,19.946
452,2009-05-01,4501.0,507.938,4217.0,171.146
453,2009-05-01,2535.0,131.264,3902.0,32.331
454,2009-05-01,19963.0,1277.088,20985.0,438.993
455,2009-05-01,2637.0,58.946,2546.0,22.084
456,2009-05-01,3290.0,52.574,3617.0,131.221
457,2009-05-01,5425.0,167.477,6738.0,264.857
458,2009-05-01,2577.0,1.055,2230.0,20.294
459,2009-05-01,41744.0,1147.401,40487.0,1340.485
460,2009-05-01,3467.0,25.735,3122.0,51.74
461,2009-05-01,33405.0,1626.459,38751.0,1619.555
462,2009-05-01,6610.0,133.435,6480.0,56.021
463,2009-05-01,3146.0,95.174,3424.0,95.161
464,2009-05-01,15103.0,396.722,20481.0,130.2
465,2009-05-01,43404.0,1826.716,46802.0,496.54
466,2009-05-01,0.0,0.0,0.0,2.832
467,2009-05-01,3627.0,45.539,3471.0,80.453
468,2009-05-01,487.0,57.054,391.0,72.621
469,2009-05-01,0.0,104.664,0.0,276.069
470,2009-05-01,72690.0,4075.553,83408.0,4034.772
471,2009-05-01,423.0,12.454,426.0,4.717
472,2009-05-01,4024.0,31.848,4497.0,104.774
473,2009-05-01,0.0,198.591,0.0,221.651
474,2009-05-01,32073.0,1653.266,33841.0,1498.305
475,2009-05-01,4412.0,0.0,4733.0,0.0
476,2009-05-01,15636.0,111.703,17784.0,362.142
477,2009-05-01,0.0,0.0,0.0,82.253
478,2009-05-01,0.0,1222.489,0.0,0.0
479,2009-05-01,8151.0,330.545,8998.0,89.98
480,2009-05-01,5912.0,236.641,5542.0,38.972
481,2009-05-01,2536.0,502.214,3233.0,144.557
482,2009-05-01,1465.0,28.269,2541.0,28.016
483,2009-05-01,7908.0,8.427,8154.0,25.864
484,2009-05-01,7848.0,0.0,8417.0,0.0
485,2009-05-01,28403.0,64.848,27172.0,32.772
486,2009-05-01,1046.0,0.0,1096.0,6.374
487,2009-05-01,739.0,0.0,731.0,6.252
488,2009-05-01,774.0,0.896,868.0,5.276
489,2009-05-01,2157.0,16.018,2172.0,9.815
490,2009-05-01,1451.0,0.271,1618.0,1.173
491,2009-06-01,1007.0,3.01,1090.0,11.706
492,2009-06-01,727.0,27.814,867.0,24.262
493,2009-06-01,31.0,0.0,152.0,1.259
494,2009-06-01,522.0,0.717,597.0,2.859
495,2009-06-01,2363.0,3.048,3345.0,66.411
496,2009-06-01,5334.0,262.508,5805.0,142.626
497,2009-06-01,216.0,7.881,0.0,0.0
498,2009-06-01,7593.0,329.484,8938.0,108.001
499,2009-06-01,1130.0,22.574,803.0,45.654
500,2009-06-01,20.0,0.0,43.0,0.0
501,2009-06-01,72083.0,1376.257,73417.0,1465.463
502,2009-06-01,6960.0,76.348,7474.0,213.473
503,2009-06-01,11564.0,294.814,14571.0,232.766
504,2009-06-01,3299.0,33.181,4037.0,33.727
505,2009-06-01,16707.0,118.733,21773.0,24.386
506,2009-06-01,326.0,0.883,348.0,3.401
507,2009-06-01,4698.0,214.462,4933.0,81.863
508,2009-06-01,1938.0,137.798,2249.0,134.269
509,2009-06-01,3145.0,70.454,2760.0,21.69
510,2009-06-01,8142.0,283.967,8924.0,93.54
511,2009-06-01,0.0,98.543,0.0,0.0
512,2009-06-01,0.0,0.0,0.0,97.171
513,2009-06-01,0.0,44.723,0.0,0.0
514,2009-06-01,0.0,0.0,0.0,79.72
515,2009-06-01,45536.0,3593.661,55150.0,2361.057
516,2009-06-01,7247.0,198.291,9321.0,55.048
517,2009-06-01,3540.0,142.765,5668.0,81.606
518,2009-06-01,4017.0,277.896,4590.0,16.509
519,2009-06-01,972.0,0.206,949.0,1.08
520,2009-06-01,17703.0,882.469,15151.0,895.341
